JD,Band,Flux,Fluxerr,Mag,Magerr
2453524.67356,I,0.000983,0.000007,16.070568,0.007732
2453525.66766,I,0.000832,0.000006,16.251643,0.007830
2453526.72042,I,0.000999,0.000006,16.053038,0.006521
2453527.75423,I,0.000835,0.000006,16.247735,0.007802
2453528.69512,I,0.000990,0.000006,16.062864,0.006580
2453529.65308,I,0.000952,0.000006,16.105359,0.006843
2453530.66115,I,0.000827,0.000006,16.258188,0.007877
2453538.63939,I,0.000937,0.000007,16.122603,0.008111
2453540.6266,I,0.000820,0.000008,16.267417,0.010593
2453544.82633,I,0.000868,0.000008,16.205652,0.010007
2453547.75787,I,0.000805,0.000007,16.287462,0.009441
2453550.60472,I,0.000821,0.000008,16.266094,0.010580
2453551.60705,I,0.000947,0.000005,16.111077,0.005733
2453552.63717,I,0.000897,0.000006,16.169970,0.007262
2453554.71678,I,0.000985,0.000009,16.068361,0.009920
2453555.78099,I,0.000807,0.000009,16.284768,0.012109
2453556.69315,I,0.000959,0.000006,16.097405,0.006793
2453558.50396,I,0.000815,0.000007,16.274058,0.009325
2453558.80264,I,0.000995,0.000007,16.057394,0.007638
2453559.58552,I,0.000983,0.000007,16.070568,0.007732
2453560.57392,I,0.000902,0.000007,16.163935,0.008426
2453561.51802,I,0.000869,0.000007,16.204402,0.008746
2453562.55868,I,0.001005,0.000007,16.046536,0.007562
2453562.81003,I,0.000846,0.000008,16.233526,0.010267
2453563.61288,I,0.000826,0.000006,16.259501,0.007887
2453564.59461,I,0.001089,0.000008,15.959382,0.007976
2453569.53138,I,0.000998,0.000010,16.054125,0.010879
2453573.6218,I,0.000877,0.000009,16.194453,0.011142
2453574.66278,I,0.001124,0.000008,15.925036,0.007728
2453575.51034,I,0.000984,0.000007,16.069464,0.007724
2453576.66428,I,0.000974,0.000007,16.080554,0.007803
2453577.73197,I,0.000986,0.000007,16.067259,0.007708
2453578.63715,I,0.000866,0.000006,16.208157,0.007522
2453579.59446,I,0.000983,0.000006,16.070568,0.006627
2453579.76218,I,0.000956,0.000008,16.100807,0.009086
2453580.62423,I,0.000950,0.000007,16.107643,0.008000
2453581.64769,I,0.000978,0.000007,16.076104,0.007771
2453582.59578,I,0.000996,0.000006,16.056303,0.006541
2453583.60978,I,0.000812,0.000007,16.278061,0.009360
2453584.61852,I,0.001059,0.000008,15.989712,0.008202
2453585.60882,I,0.000885,0.000007,16.184593,0.008588
2453586.65457,I,0.000868,0.000006,16.205652,0.007505
2453589.64722,I,0.000935,0.000006,16.124923,0.006967
2453590.61612,I,0.000909,0.000007,16.155542,0.008361
2453592.62298,I,0.000959,0.000006,16.097405,0.006793
2453593.64412,I,0.000799,0.000007,16.295585,0.009512
2453594.68106,I,0.001010,0.000007,16.041148,0.007525
2453601.62321,I,0.000899,0.000007,16.167552,0.008454
2453602.63925,I,0.000975,0.000008,16.079440,0.008909
2453603.61331,I,0.000870,0.000007,16.203153,0.008736
2453606.64021,I,0.000844,0.000009,16.236095,0.011578
2453607.61163,I,0.001104,0.000007,15.944529,0.006884
2453608.61854,I,0.000850,0.000007,16.228404,0.008941
2453616.56172,I,0.000851,0.000009,16.227128,0.011483
2453618.5384,I,0.000909,0.000007,16.155542,0.008361
2453619.56299,I,0.000884,0.000007,16.185821,0.008597
2453621.56257,I,0.000853,0.000008,16.224579,0.010183
2453628.53654,I,0.000915,0.000009,16.148399,0.010679
2453629.62118,I,0.000888,0.000008,16.180919,0.009781
2453631.50608,I,0.000785,0.000009,16.314777,0.012448
2453633.51918,I,0.000934,0.000009,16.126084,0.010462
2453637.61536,I,0.001056,0.000009,15.992792,0.009253
